HW_m,WSE_m,Q_pipe_m3s,Q_overflow_m3s,Q_total_m3s,control
0.0000,35.3600,0.0000,0.0000,0.0000,inlet
0.0255,35.3855,0.0037,0.0000,0.0037,outlet
0.0510,35.4110,0.0163,0.0000,0.0163,outlet
0.0765,35.4365,0.0386,0.0000,0.0386,outlet
0.1020,35.4620,0.0709,0.0000,0.0709,outlet
0.1275,35.4875,0.1132,0.0000,0.1132,outlet
0.1530,35.5130,0.1653,0.0000,0.1653,outlet
0.1785,35.5385,0.2271,0.0000,0.2271,outlet
0.2040,35.5640,0.2982,0.0000,0.2982,outlet
0.2295,35.5895,0.3783,0.0000,0.3783,outlet
0.2550,35.6150,0.4670,0.0000,0.4670,outlet
0.2805,35.6405,0.5638,0.0000,0.5638,outlet
0.3060,35.6660,0.6685,0.0000,0.6685,outlet
0.3315,35.6915,0.7803,0.0000,0.7803,outlet
0.3570,35.7170,0.8988,0.0000,0.8988,outlet
0.3825,35.7425,1.0235,0.0000,1.0235,outlet
0.4080,35.7680,1.1538,0.0000,1.1538,outlet
0.4335,35.7935,1.2890,0.0000,1.2890,outlet
0.4590,35.8190,1.4286,0.0000,1.4286,outlet
0.4845,35.8445,1.5719,0.0000,1.5719,outlet
0.5100,35.8700,1.7182,0.0000,1.7182,outlet
0.5355,35.8955,1.8669,0.0000,1.8669,outlet
0.5610,35.9210,2.0172,0.0000,2.0172,outlet
0.5865,35.9465,2.1683,0.0000,2.1683,outlet
0.6120,35.9720,2.3196,0.0000,2.3196,outlet
0.6375,35.9975,2.4701,0.0000,2.4701,outlet
0.6630,36.0230,2.6190,0.0000,2.6190,outlet
0.6885,36.0485,2.7655,0.0000,2.7655,outlet
0.7140,36.0740,2.9086,0.0000,2.9086,outlet
0.7395,36.0995,3.0473,0.0000,3.0473,outlet
0.7650,36.1250,3.1805,0.0000,3.1805,outlet
0.7905,36.1505,3.3072,0.0000,3.3072,outlet
0.8160,36.1760,3.4261,0.0000,3.4261,outlet
0.8415,36.2015,3.5357,0.0000,3.5357,outlet
0.8670,36.2270,3.6346,0.0000,3.6346,outlet
0.8925,36.2525,3.7208,0.0000,3.7208,outlet
0.9180,36.2780,3.7922,0.0000,3.7922,outlet
0.9435,36.3035,3.8459,0.0000,3.8459,outlet
0.9690,36.3290,3.8779,0.0000,3.8779,outlet
0.9945,36.3545,3.8818,0.0000,3.8818,outlet
1.0200,36.3800,3.8445,0.0000,3.8445,outlet
1.0455,36.4055,3.7120,0.0000,3.7120,outlet
1.0710,36.4310,3.6177,0.0094,3.6272,compound/outlet+surface
1.0965,36.4565,3.6412,0.0357,3.6769,compound/outlet+surface
1.1220,36.4820,3.6645,0.0744,3.7389,compound/outlet+surface
1.1475,36.5075,3.6876,0.1243,3.8119,compound/outlet+surface
1.1730,36.5330,3.7106,0.1845,3.8951,compound/outlet+surface
1.1985,36.5585,3.7335,0.2546,3.9881,compound/outlet+surface
1.2240,36.5840,3.7562,0.3345,4.0907,compound/outlet+surface
1.2495,36.6095,3.7788,0.4239,4.2027,compound/outlet+surface
1.2750,36.6350,3.8013,0.5228,4.3241,compound/outlet+surface
1.3005,36.6605,3.8236,0.6312,4.4548,compound/outlet+surface
1.3260,36.6860,3.8458,0.7492,4.5949,compound/outlet+surface
1.3515,36.7115,3.8678,0.8767,4.7445,compound/outlet+surface
1.3770,36.7370,3.8898,1.0138,4.9036,compound/outlet+surface
1.4025,36.7625,3.9116,1.1606,5.0722,compound/outlet+surface
1.4280,36.7880,3.9333,1.3173,5.2506,compound/outlet+surface
1.4535,36.8135,3.9549,1.4839,5.4387,compound/outlet+surface
1.4790,36.8390,3.9763,1.6605,5.6368,compound/outlet+surface
1.5045,36.8645,3.9977,1.8473,5.8449,compound/outlet+surface
1.5300,36.8900,4.0189,2.0443,6.0632,compound/outlet+surface
1.5555,36.9155,4.0400,2.2518,6.2918,compound/outlet+surface
1.5810,36.9410,4.0610,2.4698,6.5308,compound/outlet+surface
1.6065,36.9665,4.0819,2.6984,6.7804,compound/outlet+surface
1.6320,36.9920,4.1027,2.9379,7.0406,compound/outlet+surface
1.6575,37.0175,4.1234,3.1884,7.3118,compound/outlet+surface
1.6830,37.0430,4.1440,3.4499,7.5939,compound/outlet+surface
1.7085,37.0685,4.1645,3.7227,7.8871,compound/outlet+surface
1.7340,37.0940,4.1848,4.0068,8.1916,compound/outlet+surface
1.7595,37.1195,4.2051,4.3024,8.5076,compound/outlet+surface
1.7850,37.1450,4.2253,4.6098,8.8351,compound/outlet+surface
1.8105,37.1705,4.2454,4.9289,9.1743,compound/outlet+surface
1.8360,37.1960,4.2654,5.2599,9.5253,compound/outlet+surface
1.8615,37.2215,4.2853,5.6030,9.8884,compound/outlet+surface
1.8870,37.2470,4.3051,5.9584,10.2635,compound/outlet+surface
1.9125,37.2725,4.3248,6.3261,10.6510,compound/outlet+surface
1.9380,37.2980,4.3445,6.7064,11.0509,compound/outlet+surface
1.9635,37.3235,4.3640,7.0993,11.4633,compound/outlet+surface
1.9890,37.3490,4.3835,7.5050,11.8884,compound/outlet+surface
2.0145,37.3745,4.4028,7.9236,12.3265,compound/outlet+surface
2.0400,37.4000,4.4221,8.3553,12.7775,compound/outlet+surface
