HW_m,WSE_m,Q_pipe_m3s,Q_overflow_m3s,Q_total_m3s,control
0.0000,35.3600,0.0000,0.0000,0.0000,inlet
0.0255,35.3855,0.0037,0.0000,0.0037,outlet
0.0510,35.4110,0.0163,0.0000,0.0163,outlet
0.0765,35.4365,0.0386,0.0000,0.0386,outlet
0.1020,35.4620,0.0709,0.0000,0.0709,outlet
0.1275,35.4875,0.1132,0.0000,0.1132,outlet
0.1530,35.5130,0.1653,0.0000,0.1653,outlet
0.1785,35.5385,0.2271,0.0000,0.2271,outlet
0.2040,35.5640,0.2982,0.0000,0.2982,outlet
0.2295,35.5895,0.3783,0.0000,0.3783,outlet
0.2550,35.6150,0.4670,0.0000,0.4670,outlet
0.2805,35.6405,0.5638,0.0000,0.5638,outlet
0.3060,35.6660,0.6685,0.0000,0.6685,outlet
0.3315,35.6915,0.7803,0.0000,0.7803,outlet
0.3570,35.7170,0.8988,0.0000,0.8988,outlet
0.3825,35.7425,1.0235,0.0000,1.0235,outlet
0.4080,35.7680,1.1538,0.0000,1.1538,outlet
0.4335,35.7935,1.2890,0.0000,1.2890,outlet
0.4590,35.8190,1.4286,0.0000,1.4286,outlet
0.4845,35.8445,1.5719,0.0000,1.5719,outlet
0.5100,35.8700,1.7182,0.0000,1.7182,outlet
0.5355,35.8955,1.8669,0.0000,1.8669,outlet
0.5610,35.9210,2.0172,0.0000,2.0172,outlet
0.5865,35.9465,2.1683,0.0000,2.1683,outlet
0.6120,35.9720,2.3196,0.0000,2.3196,outlet
0.6375,35.9975,2.4701,0.0000,2.4701,outlet
0.6630,36.0230,2.6190,0.0000,2.6190,outlet
0.6885,36.0485,2.7655,0.0000,2.7655,outlet
0.7140,36.0740,2.9086,0.0000,2.9086,outlet
0.7395,36.0995,3.0473,0.0000,3.0473,outlet
0.7650,36.1250,3.1805,0.0000,3.1805,outlet
0.7905,36.1505,3.3072,0.0000,3.3072,outlet
0.8160,36.1760,3.4261,0.0000,3.4261,outlet
0.8415,36.2015,3.5357,0.0000,3.5357,outlet
0.8670,36.2270,3.6346,0.0000,3.6346,outlet
0.8925,36.2525,3.7208,0.0000,3.7208,outlet
0.9180,36.2780,3.7922,0.0000,3.7922,outlet
0.9435,36.3035,3.8459,0.0000,3.8459,outlet
0.9690,36.3290,3.8779,0.0000,3.8779,outlet
0.9945,36.3545,3.8818,0.0000,3.8818,outlet
1.0200,36.3800,3.8445,0.0000,3.8445,outlet
1.0455,36.4055,3.7120,0.0000,3.7120,outlet
1.0710,36.4310,3.6177,0.0017,3.6195,compound/outlet+both
1.0965,36.4565,3.6412,0.0040,3.6451,compound/outlet+both
1.1220,36.4820,3.6645,0.0063,3.6707,compound/outlet+both
1.1475,36.5075,3.6876,0.0087,3.6963,compound/outlet+both
1.1730,36.5330,3.7106,0.0112,3.7219,compound/outlet+both
1.1985,36.5585,3.7335,0.0139,3.7474,compound/outlet+both
1.2240,36.5840,3.7562,0.0166,3.7728,compound/outlet+both
1.2495,36.6095,3.7788,0.0195,3.7983,compound/outlet+both
1.2750,36.6350,3.8013,0.0224,3.8237,compound/outlet+both
1.3005,36.6605,3.8236,0.0255,3.8490,compound/outlet+both
1.3260,36.6860,3.8458,0.0286,3.8744,compound/outlet+both
1.3515,36.7115,3.8678,0.0319,3.8997,compound/outlet+both
1.3770,36.7370,3.8898,0.0353,3.9250,compound/outlet+both
1.4025,36.7625,3.9116,0.0388,3.9503,compound/outlet+both
1.4280,36.7880,3.9333,0.0423,3.9756,compound/outlet+both
1.4535,36.8135,3.9549,0.0460,4.0009,compound/outlet+both
1.4790,36.8390,3.9763,0.0498,4.0261,compound/outlet+both
1.5045,36.8645,3.9977,0.0537,4.0514,compound/outlet+both
1.5300,36.8900,4.0189,0.0578,4.0766,compound/outlet+both
1.5555,36.9155,4.0400,0.0619,4.1019,compound/outlet+both
1.5810,36.9410,4.0610,0.0661,4.1271,compound/outlet+both
1.6065,36.9665,4.0819,0.0704,4.1523,compound/outlet+both
1.6320,36.9920,4.1027,0.0749,4.1776,compound/outlet+both
1.6575,37.0175,4.1234,0.0794,4.2028,compound/outlet+both
1.6830,37.0430,4.1440,0.0840,4.2280,compound/outlet+both
1.7085,37.0685,4.1645,0.0888,4.2533,compound/outlet+both
1.7340,37.0940,4.1848,0.0936,4.2785,compound/outlet+both
1.7595,37.1195,4.2051,0.0986,4.3037,compound/outlet+both
1.7850,37.1450,4.2253,0.1037,4.3290,compound/outlet+both
1.8105,37.1705,4.2454,0.1088,4.3543,compound/outlet+both
1.8360,37.1960,4.2654,0.1141,4.3795,compound/outlet+both
1.8615,37.2215,4.2853,0.1195,4.4048,compound/outlet+both
1.8870,37.2470,4.3051,0.1250,4.4301,compound/outlet+both
1.9125,37.2725,4.3248,0.1306,4.4554,compound/outlet+both
1.9380,37.2980,4.3445,0.1363,4.4808,compound/outlet+both
1.9635,37.3235,4.3640,0.1421,4.5061,compound/outlet+both
1.9890,37.3490,4.3835,0.1480,4.5315,compound/outlet+both
2.0145,37.3745,4.4028,0.1540,4.5569,compound/outlet+both
2.0400,37.4000,4.4221,0.1602,4.5823,compound/outlet+both
